inexpensive,やすい,安い
foreigner,がいこくじん,外国人
outside,そと,外
foreign country,がいこく,外国
eight,はち,八
eight things,やっつ,八つ
east,ひがし,東
six,ろく,六
six hundred,ろっぴゃく,六百
six things,むっつ,六つ
under; below; beneath,した,下
Please give me...,ください,下さい
unskilled; clumsy,へた,下手
feeling; sensation; mood,きもち,気持ち
feeling; mood,きぶん,気分
illness; sickness,びょうき,病気
electricity; light,でんき,電気
weather,てんき,天気
small,ちいさい,小さい
primary school student,しょうがくせい,小学生
seven,なな/しち,七
seven things,ななつ,七つ
mountain,やま,山
to speak,はなす,話す
talk,はなし,話
woman; female,おんな,女
girl,おんなのこ,女の子
she; girlfriend,かのじょ,彼女
female student,じょしがくせい,女子学生
girl,じょし,女子
north,きた,北
am,ごぜん,午前
Pm,ごご,午後
hundred,ひゃく,百
to write; to draw; to compose,かく,書く
earlier; former; previous,さき,先
last week,せんしゅう,先週
last month,せんげつ,先月
name,なまえ,名前
river; stream,かわ,川
thousand,せん,千
water,みず,水
Wednesday,すいようび,水曜日
half; half past,はん,半
half,はんぶん,半分
man,おとこ,男
boy,おとこのこ,男の子
youth; young man,だんし,男子
west,にし,西
train,でんしゃ,電車
telephone; telephone call,でんわ,電話
English [language],えいご,英語
Saturday,どようび,土曜日
tree; wood,き,木
Thursday,もくようび,木曜日
to hear; to listen; to ask,きく,聞く
newspaper,しんぶん,新聞
to eat,たべる,食べる
cafeteria; dining commons,しょくどう,食堂
food,たべもの,食べ物
car; vehicle,くるま,車
bicycle; bike,じてんしゃ,自転車
automobile,じどうしゃ,自動車
what,なに,何
what time,なんじ,何時
south,みなみ,南
south exit; south entrance,みなみぐち,南口
ten thousand,まん,万
every day,まいにち,毎日
every evening,まいばん,毎晩
every night,まいよる,毎夜
white,しろい,白い
heaven,てんごく,天国
mother [formal],はは,母
mother,おかあさん,お母さん
fire,かじ,火事
Tuesday,かようび,火曜日
fireworks,はなび,花火
right,みぎ,右
left,ひだり,左
to read,よむ,読む
friend; companion,ともだち,友達
best friend,しんゆう,親友
friend [formal],ゆうじん,友人
holiday; day off; absence,やすみ,休み
to rest; to be absent,やすむ,休む
summer holiday,なつやすみ,夏休み
father [formal],ちち,父
father,おとうさん,お父さん
rain,あめ,雨
